no	front	reading	meaning_vi	han_viet	years
201	役に立つ	やくにたつ	Có ích, hữu dụng	CÓ ÍCH	2015,2017,2020
202	効率	こうりつ	Hiệu suất, hiệu quả	HIỆU SUẤT	2016,2019,2021
203	合理的	ごうりてき	Hợp lý	HỢP LÝ ĐÍCH	2014,2018,2022
204	非合理	ひごうり	Bất hợp lý	PHI HỢP LÝ	2015,2020,2023
205	矛盾	むじゅん	Mâu thuẫn	MÂU THUẪN	2016,2017,2021
206	一致	いっち	Nhất trí, phù hợp	NHẤT TRÍ	2014,2019,2022
207	齟齬	そご	Mâu thuẫn, không khớp	TRỞ NGỌ	2015,2018,2023
208	整合	せいごう	Nhất quán, hòa hợp	CHỈNH HỢP	2016,2020,2021
209	均衡	きんこう	Cân bằng, quân bình	QUÂN BÌNH	2014,2017,2022
210	偏り	かたより	Thiên lệch, mất cân bằng	THIÊN LỆCH	2015,2019,2023
211	中立	ちゅうりつ	Trung lập	TRUNG LẬP	2016,2018,2020
212	公平	こうへい	Công bằng	CÔNG BẰNG	2014,2017,2021
213	不平等	ふびょうどう	Bất bình đẳng	BẤT BÌNH ĐẲNG	2015,2020,2022
214	格差	かくさ	Khoảng cách, chênh lệch	CÁCH SAI	2016,2019,2023
215	多様性	たようせい	Sự đa dạng	ĐA DẠNG TÍNH	2014,2018,2021
216	個性	こせい	Cá tính, tính cách riêng	CÁ TÍNH	2015,2017,2022
217	独自	どくじ	Độc đáo, riêng biệt	ĐỘC TỰ	2016,2020,2023
218	普遍	ふへん	Phổ biến, toàn cầu	PHỔ BIẾN	2014,2019,2020
219	特殊	とくしゅ	Đặc thù, đặc biệt	ĐẶC THÙ	2015,2018,2021
220	例外	れいがい	Ngoại lệ	LỆ NGOẠI	2016,2017,2022
221	原則	げんそく	Nguyên tắc, quy tắc	NGUYÊN TẮC	2014,2020,2023
222	規則	きそく	Quy tắc, quy định	QUY TẮC	2015,2019,2021
223	制度	せいど	Chế độ, hệ thống	CHẾ ĐỘ	2016,2018,2022
224	仕組み	しくみ	Cơ cấu, cơ chế	CƠ CẤU	2014,2017,2023
225	構造	こうぞう	Cấu trúc	CẤU TRÚC	2015,2020,2021
226	組織	そしき	Tổ chức	TỔ CHỨC	2016,2019,2022
227	体系	たいけい	Hệ thống, thể hệ	THỂ HỆ	2014,2018,2023
228	秩序	ちつじょ	Trật tự, kỷ cương	TRẬT TỰ	2015,2017,2020
229	混乱	こんらん	Hỗn loạn, rối loạn	HỖN LOẠN	2016,2020,2021
230	安定	あんてい	Ổn định	ỔN ĐỊNH	2014,2019,2022
231	不安定	ふあんてい	Bất ổn định	BẤT ỔN ĐỊNH	2015,2018,2023
232	安心	あんしん	Yên tâm, an tâm	YÊN TÂM	2016,2017,2021
233	不安	ふあん	Bất an, lo lắng	BẤT AN	2014,2020,2022
234	期待	きたい	Kỳ vọng, mong đợi	KỲ VỌNG	2015,2019,2023
235	失望	しつぼう	Thất vọng	THẤT VỌNG	2016,2018,2021
236	希望	きぼう	Hi vọng	HI VỌNG	2014,2017,2022
237	絶望	ぜつぼう	Tuyệt vọng	TUYỆT VỌNG	2015,2020,2023
238	満足	まんぞく	Hài lòng, mãn nguyện	MÃN NGUYỆN	2016,2019,2021
239	不満	ふまん	Bất mãn, không hài lòng	BẤT MÃN	2014,2018,2022
240	喜び	よろこび	Niềm vui, vui mừng	VUI MỪNG	2015,2017,2023
241	悲しみ	かなしみ	Nỗi buồn, đau buồn	ĐAU BUỒN	2016,2020,2021
242	怒り	いかり	Sự tức giận, phẫn nộ	PHẪN NỘ	2014,2019,2022
243	恐れ	おそれ	Sự sợ hãi, lo sợ	SỢ HÃI	2015,2018,2023
244	驚き	おどろき	Sự kinh ngạc, bất ngờ	KINH NGẠC	2016,2017,2020
245	感謝	かんしゃ	Lòng biết ơn, cảm ơn	CẢM TẠ	2014,2020,2021
246	謝罪	しゃざい	Xin lỗi, tạ tội	TẠ TỘI	2015,2019,2022
247	励ます	はげます	Khích lệ, động viên	KHÍCH LỆ	2016,2018,2023
248	支える	ささえる	Hỗ trợ, chống đỡ	CHỐNG ĐỠ	2014,2017,2021
249	助ける	たすける	Giúp đỡ, cứu giúp	GIÚP ĐỠ	2015,2020,2022
250	妨げる	さまたげる	Cản trở, ngăn cản	CẢN TRỞ	2016,2019,2023
