no	front	reading	meaning_vi	usage
1	膨大	ぼうだい	Khổng lồ, rất lớn	膨大な情報、膨大な資金
2	費やす	ついやす	Tiêu tốn (thời gian, tiền)	時間・お金を費やす
3	履歴	りれき	Lịch sử (truy cập, làm việc)	閲覧履歴、職務履歴
4	偏る	かたよる	Thiên lệch	情報が偏る、偏った意見
5	固定化	こていか	Sự cố định	発想の固定化、役割の固定化
6	進化	しんか	Tiến hóa, phát triển	テクノロジーの進化
7	工夫	くふう	Sáng tạo, cách làm hay	工夫を凝らす、小さな工夫
8	思想	しそう	Tư tưởng, quan điểm	思想の違い、思想的影響
9	把握	はあく	Nắm bắt, hiểu rõ	内容を把握する、状況を把握する
10	抜き出す	ぬきだす	Rút ra, chọn lọc	要点を抜き出す、一部を抜き出す
11	いかに	いかに	Như thế nào	いかにして〜か、いかに大切か
12	凝らす	こらす	Dồn (ý tưởng, sáng tạo)	知恵を凝らす、工夫を凝らす
13	限定	げんてい	Giới hạn	限定的な視点、数量限定
14	接する	せっする	Tiếp xúc, gặp	人と接する、文化に接する
15	流す	ながす	Phát tán, truyền (thông tin)	情報を流す、ニュースを流す
16	見逃す	みのがす	Bỏ lỡ	チャンスを見逃す
17	節約	せつやく	Tiết kiệm	時間を節約する、節約生活
18	信じ込む	しんじこむ	Tin tưởng tuyệt đối	うわさを信じ込む
19	意図	いと	Ý đồ, mục đích	作者の意図、意図的に
20	客観的	きゃっかんてき	Khách quan	客観的な視点、客観的に見る
21	主観的	しゅかんてき	Chủ quan	主観的な意見、主観で判断する
22	要約	ようやく	Tóm tắt	要約文、内容を要約する
23	優先	ゆうせん	Ưu tiên	優先順位、〜を優先する
24	傾向	けいこう	Khuynh hướng	興味の傾向、最近の傾向
25	試行錯誤	しこうさくご	Thử và sai	試行錯誤を繰り返す
26	可視化	かしか	Hiển thị hóa	データの可視化
27	視点	してん	Góc nhìn	違った視点から見る
28	抽出	ちゅうしゅつ	Trích xuất	情報を抽出する
29	優れる	すぐれる	Ưu tú, vượt trội	成績が優れる、技術に優れる
30	応用	おうよう	Ứng dụng	応用力、知識を応用する
31	際立つ	きわだつ	Nổi bật	能力が際立つ
32	潜在	せんざい	Tiềm ẩn	潜在能力、潜在的な危険
33	明確	めいかく	Rõ ràng	明確な目標、明確にする
34	指摘	してき	Chỉ ra	ミスを指摘する
35	転換	てんかん	Chuyển đổi	視点の転換、方針転換
36	構築	こうちく	Xây dựng (hệ thống, tư tưởng)	ネットワークの構築
37	適応	てきおう	Thích nghi	環境への適応
38	抑制	よくせい	Kiềm chế, hạn chế	感情の抑制、支出を抑制する
39	素早い	すばやい	Nhanh nhẹn	素早い対応、判断が素早い
40	適切	てきせつ	Phù hợp	適切な対応、適切な表現
41	解釈	かいしゃく	Giải thích, hiểu	誤解釈、自己解釈
42	判断	はんだん	Phán đoán	判断力、迅速な判断
43	独自	どくじ	Độc đáo, riêng	独自の考え、独自開発
44	認識	にんしき	Nhận thức	認識不足、認識が甘い
45	提供	ていきょう	Cung cấp	情報を提供する
46	機能	きのう	Tính năng	機能が充実している
47	統一	とういつ	Thống nhất	表記を統一する
48	見出す	みいだす	Tìm ra	答えを見出す、新たな方法を見出す
49	相互	そうご	Tương hỗ	相互理解、相互関係
50	柔軟	じゅうなん	Linh hoạt	柔軟な発想、柔軟に対応する
